nb_data_points nb_test_data_points input_dim teacher_size student_size output_dim init_range batch_size nb_AH_layer2 nb_AH_layer1 nb_epochs learning_rate feedback_scale nb_init nonlinearity modification_type initialization_type
250 100 71 148 148 1 1 10 0 56 20000 0.1 1 10 lin col uniform
250 100 71 148 148 1 1 10 0 60 20000 0.1 1 10 lin col uniform
250 100 71 148 148 1 1 10 0 63 20000 0.1 1 10 lin col uniform
250 100 71 148 148 1 1 10 0 67 20000 0.1 1 10 lin col uniform
250 100 71 148 148 1 1 10 0 71 20000 0.1 1 10 lin col uniform
250 100 74 145 145 1 1 10 0 0 20000 0.1 1 10 lin col uniform
250 100 74 145 145 1 1 10 0 3 20000 0.1 1 10 lin col uniform
250 100 74 145 145 1 1 10 0 7 20000 0.1 1 10 lin col uniform
250 100 74 145 145 1 1 10 0 11 20000 0.1 1 10 lin col uniform
250 100 74 145 145 1 1 10 0 14 20000 0.1 1 10 lin col uniform
250 100 74 145 145 1 1 10 0 18 20000 0.1 1 10 lin col uniform
250 100 74 145 145 1 1 10 0 22 20000 0.1 1 10 lin col uniform
250 100 74 145 145 1 1 10 0 25 20000 0.1 1 10 lin col uniform
250 100 74 145 145 1 1 10 0 29 20000 0.1 1 10 lin col uniform
250 100 74 145 145 1 1 10 0 33 20000 0.1 1 10 lin col uniform
250 100 74 145 145 1 1 10 0 37 20000 0.1 1 10 lin col uniform
250 100 74 145 145 1 1 10 0 40 20000 0.1 1 10 lin col uniform
250 100 74 145 145 1 1 10 0 44 20000 0.1 1 10 lin col uniform
250 100 74 145 145 1 1 10 0 48 20000 0.1 1 10 lin col uniform
250 100 74 145 145 1 1 10 0 51 20000 0.1 1 10 lin col uniform
250 100 74 145 145 1 1 10 0 55 20000 0.1 1 10 lin col uniform
250 100 74 145 145 1 1 10 0 59 20000 0.1 1 10 lin col uniform
250 100 74 145 145 1 1 10 0 62 20000 0.1 1 10 lin col uniform
250 100 74 145 145 1 1 10 0 66 20000 0.1 1 10 lin col uniform
250 100 74 145 145 1 1 10 0 70 20000 0.1 1 10 lin col uniform
250 100 74 145 145 1 1 10 0 74 20000 0.1 1 10 lin col uniform
250 100 77 142 142 1 1 10 0 0 20000 0.1 1 10 lin col uniform
250 100 77 142 142 1 1 10 0 3 20000 0.1 1 10 lin col uniform
250 100 77 142 142 1 1 10 0 7 20000 0.1 1 10 lin col uniform
250 100 77 142 142 1 1 10 0 11 20000 0.1 1 10 lin col uniform
250 100 77 142 142 1 1 10 0 15 20000 0.1 1 10 lin col uniform
250 100 77 142 142 1 1 10 0 19 20000 0.1 1 10 lin col uniform
250 100 77 142 142 1 1 10 0 23 20000 0.1 1 10 lin col uniform
250 100 77 142 142 1 1 10 0 26 20000 0.1 1 10 lin col uniform
250 100 77 142 142 1 1 10 0 30 20000 0.1 1 10 lin col uniform
250 100 77 142 142 1 1 10 0 34 20000 0.1 1 10 lin col uniform
250 100 77 142 142 1 1 10 0 38 20000 0.1 1 10 lin col uniform
250 100 77 142 142 1 1 10 0 42 20000 0.1 1 10 lin col uniform
250 100 77 142 142 1 1 10 0 46 20000 0.1 1 10 lin col uniform
250 100 77 142 142 1 1 10 0 50 20000 0.1 1 10 lin col uniform
250 100 77 142 142 1 1 10 0 53 20000 0.1 1 10 lin col uniform
250 100 77 142 142 1 1 10 0 57 20000 0.1 1 10 lin col uniform
250 100 77 142 142 1 1 10 0 61 20000 0.1 1 10 lin col uniform
250 100 77 142 142 1 1 10 0 65 20000 0.1 1 10 lin col uniform
250 100 77 142 142 1 1 10 0 69 20000 0.1 1 10 lin col uniform
250 100 77 142 142 1 1 10 0 73 20000 0.1 1 10 lin col uniform
250 100 77 142 142 1 1 10 0 77 20000 0.1 1 10 lin col uniform
250 100 80 139 139 1 1 10 0 0 20000 0.1 1 10 lin col uniform
250 100 80 139 139 1 1 10 0 4 20000 0.1 1 10 lin col uniform
250 100 80 139 139 1 1 10 0 8 20000 0.1 1 10 lin col uniform
250 100 80 139 139 1 1 10 0 12 20000 0.1 1 10 lin col uniform
250 100 80 139 139 1 1 10 0 16 20000 0.1 1 10 lin col uniform
250 100 80 139 139 1 1 10 0 20 20000 0.1 1 10 lin col uniform
250 100 80 139 139 1 1 10 0 24 20000 0.1 1 10 lin col uniform
250 100 80 139 139 1 1 10 0 28 20000 0.1 1 10 lin col uniform
250 100 80 139 139 1 1 10 0 32 20000 0.1 1 10 lin col uniform
250 100 80 139 139 1 1 10 0 36 20000 0.1 1 10 lin col uniform
250 100 80 139 139 1 1 10 0 40 20000 0.1 1 10 lin col uniform
250 100 80 139 139 1 1 10 0 44 20000 0.1 1 10 lin col uniform
250 100 80 139 139 1 1 10 0 48 20000 0.1 1 10 lin col uniform
250 100 80 139 139 1 1 10 0 52 20000 0.1 1 10 lin col uniform
250 100 80 139 139 1 1 10 0 56 20000 0.1 1 10 lin col uniform
250 100 80 139 139 1 1 10 0 60 20000 0.1 1 10 lin col uniform
250 100 80 139 139 1 1 10 0 64 20000 0.1 1 10 lin col uniform
250 100 80 139 139 1 1 10 0 68 20000 0.1 1 10 lin col uniform
250 100 80 139 139 1 1 10 0 72 20000 0.1 1 10 lin col uniform
250 100 80 139 139 1 1 10 0 76 20000 0.1 1 10 lin col uniform
250 100 80 139 139 1 1 10 0 80 20000 0.1 1 10 lin col uniform
250 100 82 137 137 1 1 10 0 0 20000 0.1 1 10 lin col uniform
250 100 82 137 137 1 1 10 0 4 20000 0.1 1 10 lin col uniform
250 100 82 137 137 1 1 10 0 8 20000 0.1 1 10 lin col uniform
250 100 82 137 137 1 1 10 0 12 20000 0.1 1 10 lin col uniform
250 100 82 137 137 1 1 10 0 16 20000 0.1 1 10 lin col uniform
250 100 82 137 137 1 1 10 0 20 20000 0.1 1 10 lin col uniform
250 100 82 137 137 1 1 10 0 24 20000 0.1 1 10 lin col uniform
250 100 82 137 137 1 1 10 0 28 20000 0.1 1 10 lin col uniform
250 100 82 137 137 1 1 10 0 32 20000 0.1 1 10 lin col uniform
250 100 82 137 137 1 1 10 0 36 20000 0.1 1 10 lin col uniform
250 100 82 137 137 1 1 10 0 41 20000 0.1 1 10 lin col uniform
250 100 82 137 137 1 1 10 0 45 20000 0.1 1 10 lin col uniform
250 100 82 137 137 1 1 10 0 49 20000 0.1 1 10 lin col uniform
250 100 82 137 137 1 1 10 0 53 20000 0.1 1 10 lin col uniform
